"Folder","Result","OD_mm","ID_R_mm","Thick_mm","Vol_mm3"
"round129_KE-SL-057_KMB1202","PASS","78.1","34.8743","15","14546.316"
"round13_KE-SP-003_ESR100","PASS","","15.15","","2112.156"
"round130_KE-SP-018","PASS","61.7","","4",""
"round131_IGX-spacer","PASS","61.3","19.5026","10.61","18635.076"
"round132_sleeve-tube","PASS","20","","45",""
"round133_EV-S200P","PASS","62","","15.5",""
"round134_KE-SL-010-ESR","PASS","60","26.2694","15","9892.221"
"round135_EV-L200-BP-spacer","PASS","44.7","","4",""
"round136_EV-L200-BP-flinger","PASS","62","27.6395","15.5","9595.65"
"round137_EV-L200-MP-flinger","PASS","49","","15.5",""
"round138_KE-SL-006-AA-BP","PASS","52","22.7881","28","13784.451"
"round139_KE-SP-019-EVM","PASS","61.8","","5.5",""
"round14_KE-SP-004_ESR100_big","PASS","","2.6652","","14.245"
"round140_EV-L200-MP-flinger2","PASS","49","","15.5",""
"round141_tube-2017","PASS","326","159.9583","1.5","4629.2"
"round142_inner-tube","PASS","11","2.8565","51","3539.389"
"round143_tube-2015","PASS","25","11.3461","32","2766.172"
"round144_tube-2013","PASS","176","84.9332","1.5","2499.2"
"round145_KMB601-oil-seal","PASS","60","22.5682","7.5","9205.121"
"round146_KMB602PT-oil-seal","PASS","62.1","22.1067","7.5","11201.263"
"round147_KE-SP-016-P1","PASS","79.8","","6",""
"round148_KE-SP-004-P1","PASS","61.7","26.5222","4","3120.158"
"round149_KE-SP-004-P2","PASS","5","2.1621","2.39","11.832"
"round15_KE-SP-007_ESR100_MP","PASS","","10.15","","941.598"
"round150_KE-SP-016-P1b","PASS","79.8","","6",""
"round151_EV-M502-MP-finger","PASS","81","","20.5",""
"round152_EV-S200P-BP-v3","PASS","62","27.6051","15.5","9688.261"
"round153_EV-S200P-G-washer","PASS","45","","2",""
"round154_KE-SL-013","PASS","74.2","35.0117","74.2","35102.947"
"round155_KE-SL-009","PASS","55","","11",""
"round156_KE-SL-011","PASS","48","19.949","15","8389.726"
"round157_KE-SL-004","PASS","52","22.8251","21","10226.84"
"round158_KE-SL-052","PASS","33","13.7443","23.5","6154.84"
"round159_KE-SL-001-ESA200","PASS","63","28.2621","29","17629.309"
"round16_S200P_G_gasket","PASS","","17.55","","1245.626"
"round160_KMB1203","PASS","38","13.5651","50","27801.162"
"round161_KE-SL-056","PASS","81.45","","43.9",""
"round162_KE-SL-056v2","PASS","81.45","","43.9",""
"round163_KE-SL-003-ESA300M","PASS","86.4","41.5941","86.4","36961.353"
"round164_KE-SL-050-HC60D","PASS","32","14.0936","32","5767.464"
"round165_KE-SL-049-HC60C","PASS","43.5","19.7063","43.5","11578.151"
"round166_KE-SL-051-HC60E","PASS","31.98","10.4457","12","5525.466"
"round167_KE-SL-002-ESA300G","PASS","86.4","41.9502","86.4","28887.127"
"round168_MU100-sleeve","PASS","25","","8.5",""
"round169_EV-X200N-MP-M","PASS","70","27.0896","21.5","33174.532"
"round17_KE-SP-008_ESR_MP_big","PASS","","19.6691","","1989.861"
"round170_MU100-v2","PASS","25","","8.5",""
"round171_KMB1203E","PASS","36.8","13.4257","45.4","22579.742"
"round172_KE-SL-017-SD90","PASS","41.2","18.0335","41","12771.587"
"round173_SD90-ring","PASS","16","","10",""
"round174_KE-SL-005-AA-MPG","PASS","52","23.1395","27","11923.034"
"round175_KE-SL-008-A70W","PASS","81.5","","44",""
"round176_GE024-MU100","PASS","63.9","","15",""
"round177_KE-SL-007-AA-MPM","PASS","52","22.8603","21","10120.654"
"round178_KE-SL-020-KMB2003","PASS","95","43.9466","43.2","44100.395"
"round179_KE-SL-037-A150-BPG","PASS","73","33.0025","25","19091.795"
"round18_AlNiCo_magnet","PASS","","7.3","","30724.737"
"round180_KE-SL-036-A150-BPM","PASS","73","32.834","32","25552.571"
"round181_KE-SL-032-ESA200-BPG","PASS","54.9","24.2316","28","14631.278"
"round182_KE-SL-034-A150-MPM","PASS","67","29.7877","37","27309.484"
"round183_KE-SL-024-ESA200-MPG","PASS","54.9","24.3496","33","16649.571"
"round184_KE-SL-012-SDE300C","PASS","84","36.8453","47.5","60649.169"
"round185_KE-SL-035-A150-MPG","PASS","67","29.6073","30","23152.437"
"round186_KE-SL-033-ESA200-MPM","PASS","63","28.2733","29","17571.545"
"round187_KE-SL-031-QDP","PASS","61.75","26.2886","17","14002.024"
"round188_KE-SL-034-ESA200-BPM","PASS","63","28.2621","29","17629.309"
"round189_KE-SL-022","PASS","52","","52",""
"round19_SDE300_arc_magnet","PASS","","18.8265","","17396.821"
